c4_cp_cis-codif_hs_h1_pef	time_tags__C4_CP_CIS_CODIF_HS_H1_PEF	ms	1.0e-3&gt;s	Universal Time	Acquisition interval start time		support_data											
c4_cp_cis-codif_hs_h1_pef	duration__C4_CP_CIS_CODIF_HS_H1_PEF	s	1.0&gt;s	Interval duration	Interval duration		data											
c4_cp_cis-codif_hs_h1_pef	cis_mode__C4_CP_CIS_CODIF_HS_H1_PEF			CIS Operational Mode	CIS Operational Mode		data											
c4_cp_cis-codif_hs_h1_pef	tm_product__C4_CP_CIS_CODIF_HS_H1_PEF			Telemetry Product Number	CIS Telemetry Product		data											
c4_cp_cis-codif_hs_h1_pef	geom_factor__C4_CP_CIS_CODIF_HS_H1_PEF	cm2^2 sr keV keV^-1	1.0E-4&gt;m^2 sr	Geometric factor	Geometric factor		support_data											
c4_cp_cis-codif_hs_h1_pef	codif_mcp_hv__C4_CP_CIS_CODIF_HS_H1_PEF	volt	1&gt;V	Codif MCP High-Voltage	CODIF MCP High-Voltage		data											
c4_cp_cis-codif_hs_h1_pef	codif_acc_hv__C4_CP_CIS_CODIF_HS_H1_PEF	volt	1&gt;V	Codif Acceleration High-Voltage	CODIF Acceleration High-Voltage		data											
c4_cp_cis-codif_hs_h1_pef	ions_3d__C4_CP_CIS_CODIF_HS_H1_PEF	keV cm^-2 s^-1 sr^-1 keV^-1	1.0E+4&gt;m^-2 s^-1 sr^-1	CIS-CODIF 3D HS Proton distributions	[no plot] CIS-CODIF 3D HS Proton distributions		data											
c4_cp_cis-codif_hs_h1_pef	theta__C4_CP_CIS_CODIF_HS_H1_PEF	&#176;	0.0174532925199&gt;rad	Polar bin edges	Polar bin edges (particle arrival direction)		support_data											
c4_cp_cis-codif_hs_h1_pef	phi__C4_CP_CIS_CODIF_HS_H1_PEF	&#176;	0.0174532925199&gt;rad	Azimuthal bin edges	Azimuthal bin edges (particle arrival direction)		support_data											
c4_cp_cis-codif_hs_h1_pef	energy_table__C4_CP_CIS_CODIF_HS_H1_PEF	eV	1.60217646E-19&gt;J	Energy table	Energy table		support_data											
c4_cp_cis-codif_hs_h1_pef	delta_plus_energy_table__C4_CP_CIS_CODIF_HS_H1_PEF	eV	1.60217646E-19&gt;J	Delta plus energy table	Delta plus energy table		support_data											
c4_cp_cis-codif_hs_h1_pef	delta_minus_energy_table__C4_CP_CIS_CODIF_HS_H1_PEF	eV	1.60217646E-19&gt;J	Delta minus energy table	Delta minus energy table		support_data											
c4_cp_cis-codif_hs_h1_pef	Metadata_energy_table__C4_CP_CIS_CODIF_HS_H1_PEF			Metadata_energy_table__C4_CP_CIS_CODIF_HS_H1_PEF	Metadata_energy_table__C4_CP_CIS_CODIF_HS_H1_PEF		metadata											
