c2_cp_edi_qzc	time_tags__C2_CP_EDI_QZC	ms	1.0e-3&gt;s	Universal Time	Time Tag		support_data											
c2_cp_edi_qzc	Status__C2_CP_EDI_QZC		1&gt;unitless	QZC Status	QZC Status		support_data											
c2_cp_edi_qzc	counts_GDU1_PA_90__C2_CP_EDI_QZC		1&gt;unitless	QZC electron counts GDU1 PA=90 degrees	QZC electron counts GDU1 PA=90 degree		data											
c2_cp_edi_qzc	D1_rlp_gse__C2_CP_EDI_QZC	&#176;	1&gt;degree	GDU1 look direction in GSE	GDU1 look direction in spherical polar GSE coordinates		support_data											
c2_cp_edi_qzc	D1_phi_index__C2_CP_EDI_QZC		1&gt;unitless	Cluster C2, phi look direction index for D1	Cluster C2, phi look direction index for D1		support_data											
c2_cp_edi_qzc	D1_theta_index__C2_CP_EDI_QZC		1&gt;unitless	Cluster C2, theta look direction index for D1	Cluster C2, theta look direction index for D1		support_data											
c2_cp_edi_qzc	counts_GDU2_PA_90__C2_CP_EDI_QZC		1&gt;unitless	QZC electron counts GDU2 PA=90 degrees	QZC electron counts GDU2 PA=90 degree		data											
c2_cp_edi_qzc	D2_rlp_gse__C2_CP_EDI_QZC	&#176;	1&gt;degree	GDU1 look direction in GSE	GDU1 look direction in spherical polar GSE coordinates		support_data											
c2_cp_edi_qzc	D2_phi_index__C2_CP_EDI_QZC		1&gt;unitless	Cluster C2, phi look direction index for D2	Cluster C2, phi look direction index for D2		support_data											
c2_cp_edi_qzc	D2_theta_index__C2_CP_EDI_QZC		1&gt;unitless	Cluster C2, theta look direction index for D2	Cluster C2, theta look direction index for D2		support_data											
c2_cp_edi_qzc	D1_rlp_gse__C2_CP_EDI_QZC_REPRESENTATION_1			D1_rlp_gse__C2_CP_EDI_QZC_REPRESENTATION_1	D1_rlp_gse__C2_CP_EDI_QZC_REPRESENTATION_1		metadata											
c2_cp_edi_qzc	D1_rlp_gse__C2_CP_EDI_QZC_LABEL_1			D1_rlp_gse__C2_CP_EDI_QZC_LABEL_1	D1_rlp_gse__C2_CP_EDI_QZC_LABEL_1		metadata											
c2_cp_edi_qzc	D2_rlp_gse__C2_CP_EDI_QZC_REPRESENTATION_1			D2_rlp_gse__C2_CP_EDI_QZC_REPRESENTATION_1	D2_rlp_gse__C2_CP_EDI_QZC_REPRESENTATION_1		metadata											
c2_cp_edi_qzc	D2_rlp_gse__C2_CP_EDI_QZC_LABEL_1			D2_rlp_gse__C2_CP_EDI_QZC_LABEL_1	D2_rlp_gse__C2_CP_EDI_QZC_LABEL_1		metadata											
